Id,Integration_Pattern__c,Integration_Pattern_Inbound__c,Name
a250l000000oALCAA2,OBM,SYNC,DRISHTI_UPLOAD
a250l000000oALDAA2,OBM,SYNC,PUSH_HUNTER-2_RESPONSE_TO_BPM
a250l000000oALEAA2,OBM,SYNC,PUSH_CASE_DATA_TO_FI_APP
a250l000000oALFAA2,OBM,SYNC,GETIFSCDETAILS
a250l000000oALGAA2,OBM,SYNC,verificationDoneFI
a250l000000oALHAA2,OBM,SYNC,UpdateUserFI
a250l000000oALIAA2,OBM,SYNC,UserCreateFI
a250l000000oALMAA2,OBM,SYNC,GetLoanAppRecords
a250l000000oALNAA2,OBM,SYNC,SENDSMS_LAN
a250l000000oALOAA2,OBM,SYNC,VOICEOTP_APPLICANT
a250l000000oALPAA2,OBM,SYNC,BPMLOANCREATION
a250l000000oALQAA2,OBM,SYNC,UPLOADDOCUMENTSAPIPINELAB
a250l000000oALRAA2,OBM,SYNC,SUBMITLOANAPIPINELAB
a250l000000oALSAA2,OBM,SYNC,CHECKELIGIBILITYAPIPINELAB
a250l000000oALTAA2,OBM,SYNC,CHECKSTATUSAPIPINELAB
a250l000000oALaAAM,OBM,SYNC,CREATETOPUP
a250l000000oALbAAM,OBM,SYNC,FINNONE ADDITIONAL DISBURSEMENT
a250l000000oALcAAM,OBM,SYNC,fetchEBCSanctionDetails
a250l000000oALdAAM,OBM,SYNC,URLSHORTENINGSERVICE
a250l000000oALeAAM,OBM,SYNC,Demog Details Update
a250l000000oALfAAM,OBM,SYNC,GETDOCUMENTSSERVICE
a250l000000oALgAAM,OBM,SYNC,UPDATEPAPERLESS
a250l000000oALhAAM,OBM,SYNC,GETPLABDOCUMENT
a250l000000oALtAAM,OBM,SYNC,Physical_NACH_Status_Confirm
